City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,19.010000000000048,64,80,4.53,PN,2024-08-28
1,port-aux-francais,-49.35,70.2167,5.53000000000003,97,100,13.67,TF,2024-08-28
2,imbituba,-28.24,-48.6703,10.140000000000043,86,25,1.57,BR,2024-08-28
3,waitangi,-43.9535,-176.5597,11.010000000000048,96,100,4.92,NZ,2024-08-28
4,campbell river,50.0163,-125.2446,13.580000000000041,85,0,3.48,CA,2024-08-28
5,delano,35.7688,-119.247,23.0,56,0,1.54,US,2024-08-28
6,touros,-5.1989,-35.4608,22.720000000000027,88,57,5.74,BR,2024-08-28
7,copala,16.65,-98.9833,25.410000000000025,89,100,1.64,MX,2024-08-28
8,la'ie,21.6477,-157.9253,26.660000000000025,77,18,2.68,US,2024-08-28
9,sitka,57.0531,-135.33,13.939999999999998,82,100,4.12,US,2024-08-28
10,ushuaia,-54.8,-68.3,6.810000000000002,53,75,4.12,AR,2024-08-28
11,tolanaro,-25.0319,46.9987,23.04000000000002,73,20,10.8,MG,2024-08-28
12,pacasmayo,-7.4006,-79.5714,16.58000000000004,91,70,3.66,PE,2024-08-28
13,harper,4.375,-7.7169,24.060000000000002,88,100,5.83,LR,2024-08-28
14,howard springs,-12.497,131.047,33.82000000000005,44,99,3.89,AU,2024-08-28
15,isafjordur,66.0755,-23.124,5.110000000000014,90,83,2.53,IS,2024-08-28
16,chibougamau,49.9168,-74.3659,9.79000000000002,76,100,6.69,CA,2024-08-28
17,bredasdorp,-34.5322,20.0403,6.210000000000036,73,92,7.12,ZA,2024-08-28
18,new norfolk,-42.7826,147.0587,9.950000000000045,95,97,4.12,AU,2024-08-28
19,kasumkent,41.6773,48.146,26.55000000000001,29,0,1.53,RU,2024-08-28
20,tanhacu,-14.0214,-41.2481,20.760000000000048,66,78,2.27,BR,2024-08-28
21,kokopo,-4.352,152.2633,29.160000000000025,69,89,6.47,PG,2024-08-28
22,tramandai,-29.9847,-50.1336,11.879999999999995,93,22,3.15,BR,2024-08-28
23,olonkinbyen,70.9221,-8.7187,3.740000000000009,79,0,1.69,SJ,2024-08-28
24,afaahiti,-17.75,-149.2833,22.439999999999998,81,96,6.36,PF,2024-08-28
25,petropavlovsk-kamchatsky,53.0452,158.6483,23.33000000000004,43,75,3.0,RU,2024-08-28
26,sao gabriel da cachoeira,-0.1303,-67.0892,22.850000000000023,89,85,2.1,BR,2024-08-28
27,ghazni,33.5536,68.4269,23.0,32,0,2.22,AF,2024-08-28
28,jinchang,38.4953,102.1739,26.629999999999995,42,23,3.13,CN,2024-08-28
29,klyuchi,52.2667,79.1667,16.960000000000036,63,100,2.03,RU,2024-08-28
30,invercargill,-46.4,168.35,13.120000000000005,64,100,4.52,NZ,2024-08-28
31,greenfield,42.9614,-88.0126,25.710000000000036,80,0,3.09,US,2024-08-28
32,bethel,41.3712,-73.414,20.850000000000023,89,27,0.45,US,2024-08-28
33,flin flon,54.7682,-101.865,12.950000000000045,65,17,5.72,CA,2024-08-28
34,anadyr,64.75,177.4833,15.28000000000003,62,0,5.0,RU,2024-08-28
35,hammerfest,70.6634,23.6821,11.25,82,75,6.17,NO,2024-08-28
36,grytviken,-54.2811,-36.5092,3.0300000000000296,85,100,3.42,GS,2024-08-28
37,avarua,-21.2078,-159.775,25.03000000000003,94,75,5.66,CK,2024-08-28
38,ola,59.5833,151.2833,13.930000000000007,80,49,2.39,RU,2024-08-28
39,papatowai,-46.5619,169.4708,13.200000000000045,74,100,2.59,NZ,2024-08-28
40,west island,-12.1568,96.8225,28.99000000000001,74,75,7.72,CC,2024-08-28
41,mogocha,53.7333,119.7667,21.99000000000001,34,0,4.36,RU,2024-08-28
42,bilibino,68.0546,166.4372,3.3700000000000045,88,100,2.21,RU,2024-08-28
43,ilulissat,69.2167,-51.1,3.0100000000000477,100,100,0.0,GL,2024-08-28
